"","Organism","Limb.Width","unitsW","Limb.Length","unitsL"
"1","Felis catus",11.403605111202,"mm",110.522149381448,"mm"
"2","Mus musculus",19.6077198293595,"mm",60.0259022952493,"cm"
"3","Ateles fusciceps",22.1654469796761,"mm",14.2327161976084,"cm"
"4","Bradypus tridactylus",7.64686545579142,"cm",97.6457405195509,"mm"
"5","Pterois volitans",6.84855945897438,"mm",227.314750575926,"cm"
"6","Camelus dromedarius",2.26085442216219,"cm",53.2659505266327,"cm"
"7","Ornithorhynchus anatinus",3.22576236096067,"cm",217.054632491407,"cm"
"8","Canis lupus",10.3724490033216,"cm",276.179990922454,"cm"
"9","Pongo abelii",7.16085416090034,"cm",45.5064509989778,"mm"
"10","Panthera tigris",24.0549780022852,"cm",218.114480986651,"cm"
